学校,学科,等级/结果,推测等级或第四轮等级,时间,来源,渠道,标题,链接,备注,网页存档
北京化工大学,,A+类学科零的突破,,12月31日,北京化工大学,微信公众号,北京化工大学2023年新年贺词,https://mp.weixin.qq.com/s/B8jdvCyjNycqAUJpxhXiog,,https://archive.is/CaKr7
北京化工大学,生物医学工程,A+,,1月17日,北京化工大学,网站,生命学院召开2022年度总结表彰会,https://life.buct.edu.cn/2023/0117/c754a175608/page.htm,,https://web.archive.org/web/20230209092708/https://life.buct.edu.cn/2023/0117/c754a175608/page.htm
北京化工大学,多个学科,取得突破,,1月10日,北京化工大学,网站,我校隆重举行北京化工大学2022年度“校长奖”颁奖仪式,https://www.buct.edu.cn/2023/0110/c1485a175550/page.htm,,https://web.archive.org/web/20230206114916/https://www.buct.edu.cn/2023/0110/c1485a175550/page.htm
北京化工大学,A类学科,取得显著突破,,,北京化工大学,网站,学校简介,https://www.buct.edu.cn/xxjj_11373/list.htm,,https://web.archive.org/web/20230209073812/https://www.buct.edu.cn/xxjj_11373/list.htm
北京化工大学,环境科学与工程,B+,第四轮B,1月18日,北京化工大学化学工程学院,网站,环境科学与工程系举办2022年终总结会暨环境科学与工程学科发展研讨会,https://chem.buct.edu.cn/2023/0118/c5051a175609/page.htm,,https://web.archive.org/web/20230209080731/https://chem.buct.edu.cn/2023/0118/c5051a175609/page.htm
北京科技大学,,取得佳绩,,12月31日,北京科技大学新闻网,网站,科史文苑2023新年献词,https://news.ustb.edu.cn/info/1112/55141.htm,,https://web.archive.org/web/20230206091844/https://news.ustb.edu.cn/info/1112/55141.htm
北京科技大学,,取得良好成绩,,1月6日,北京科技大学新闻网,网站,学校党委召开2022年度二级党组织书记抓基层党建工作述职评议会,https://news.ustb.edu.cn/info/1087/55148.htm,,https://web.archive.org/web/20230206092213/https://news.ustb.edu.cn/info/1087/55148.htm
北京科技大学,科学技术史,继续保持国内领先地位,A+,12月31日,北京科技大学新闻网,网站,科史文苑2023新年献词,https://news.ustb.edu.cn/info/1112/55141.htm,,https://web.archive.org/web/20230206091844/https://news.ustb.edu.cn/info/1112/55141.htm
北京科技大学,材料科学与工程,A+,,1月7日,材院新声,微信公众号,新材料技术研究院第二届教职工代表大会第六次会议暨全体教职工大会顺利召开,https://mp.weixin.qq.com/s/nDYyLUJHA9kNRSnLKQae_g,,https://archive.is/ZzUOC
北京科技大学,管理科学与工程,取得重要进展，排名迈上新台阶，成为在国内具有重要影响的学科,,1月19日,北京科技大学经济管理学院,微信公众号,致我们并肩走过的2022！,https://mp.weixin.qq.com/s/FqiewFe3nlVLB5EYJ41iFA,,https://archive.is/JnZB5
北京科技大学,工商管理,取得重要进展，排名迈上新台阶，成为在国内具有重要影响的学科,,1月19日,北京科技大学经济管理学院,微信公众号,致我们并肩走过的2022！,https://mp.weixin.qq.com/s/FqiewFe3nlVLB5EYJ41iFA,,https://archive.is/JnZB5
北京理工大学,兵器科学与技术,优势学科（标红）,A+,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,信息与通信工程,优势学科（标红）,A+,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,信息与通信工程,A+,第四轮A-,12月31日,北京理工大学信息与电子学院,微信公众号,守正创新展宏图，锐意进取启新程,,已被删除,
北京理工大学,控制科学与工程,优势学科（标红）,A+,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,控制科学与工程,A+,,1月4日,北京理工大学自动化学院,网站,学院简介,https://ac.bit.edu.cn/xygk/xyjj/index.htm,已删除相关表述,https://web.archive.org/web/20230206070016/https://ac.bit.edu.cn/xygk/xyjj/index.htm
北京理工大学,机械工程,优势学科（标绿）,A,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,光学工程,优势学科（标绿）,A,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,计算机科学与技术,优势学科（标绿）,A,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
北京理工大学,材料科学与工程,优势学科（标绿）,A,1月12日,,,第九届“特立论坛”-国际青年学者论坛,,龙腾院士（北理工校长）作报告时ppt所示,
